月份,SHFE铜主连成交量,SHFE铜主连持仓量,SHFE铜主连收盘价,SHFE铜主连成交量_变化率,SHFE铜主连持仓量_变化率,SHFE铝主连成交量,SHFE铝主连持仓量,SHFE铝主连收盘价,SHFE铝主连成交量_变化率,SHFE铝主连持仓量_变化率
2025-04-01,2667642,168554,77220.0,16.62409257733175,-17.26274040113488,3310320,183869,19910.0,-1.1523447472924775,-8.597462766697817
2025-05-01,1689891,172994,77600.0,-36.652256937025285,2.634170651541945,3011975,195664,20070.0,-9.012572802629348,6.4148932120150715
2025-06-01,1618279,212911,79870.0,-4.237669766866626,23.07421066626589,3000194,272406,20580.0,-0.3911387046705239,39.22131817810124
2025-07-01,1924919,176193,78040.0,18.948524945327726,-17.245703603853258,3119915,248613,20510.0,3.9904419514204648,-8.734389110372021
2025-08-01,1170314,173666,79410.0,-39.20190927514352,-1.434222698972154,2465960,236608,20740.0,-20.96066719766404,-4.82879012762808
2025-09-01,2069068,213859,83110.0,76.79597099581821,23.143850840118386,2770480,190531,20680.0,12.348943210757678,-19.473982282932113
2025-10-01,3016093,258319,87010.0,45.770607829225526,20.789398622456858,2561461,266936,21300.0,-7.544504923334583,40.101085912528674
2025-11-01,2031291,218257,87430.0,-32.6515793776916,-15.5087314521967,4233490,260670,21610.0,65.27637937879985,-2.347379147061468
2025-12-01,4984741,208246,98240.0,145.39768058835486,-4.586794467073219,5975058,256373,22925.0,41.13787914935432,-1.6484443932942017
2026-01-01,5865455,222932,103680.0,17.668199812186835,7.052236297455883,12289334,284899,24560.0,105.67723359338102,11.126756717751096
2026-02-01,2600699,203798,103920.0,-55.660745841541704,-8.582886261281464,4781703,258690,23835.0,-61.090625415502586,-9.199400489296206
2026-03-01,3076020,185747,95340.0,18.27666331244022,-8.857299875366786,8745464,258839,24875.0,82.89433701758557,0.057597897096917094
2026-04-01,2042613,190887,101030.0,-33.59558780502078,2.767204853914196,5090167,294026,24430.0,-41.79649015764058,13.594164712427425
2026-05-01,2017232,179433,105000.0,-1.2425750741819397,-6.000408618711594,4035750,297144,24270.0,-20.71478204939052,1.0604504363559641
